166,78,28.30599506
150,60,26.66666667
168,81,28.69897959
168,85,30.11621315
181,52,15.87253136
177,56,17.87481247
172,65,21.97133586
154,53,22.34778209
161,63,24.30461788
178,75,23.67125363
179,71,22.15910864
187,74,21.16160027
180,75,23.14814815
171,81,27.70083102
186,88,25.43646664
169,59,20.65754
173,78,26.06167931
184,50,14.768431
166,57,20.68515024
179,67,20.91070816
174,86,28.40533756
179,83,25.9043101
155,64,26.63891779
161,53,20.44674202
186,62,17.92114695
160,69,26.953125
156,89,36.57133465
179,52,16.22920633
169,66,23.10843458
185,59,17.23886048
